make: Nothing to be done for `test'.
----
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	CuckooSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.99	0.005	0	1	19.8937	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	CuckooSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.99	0.005	0	2	12.3799	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	CuckooSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.99	0.005	0	3	10.6691	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	CuckooSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.99	0.005	0	6	6.90724	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	CuckooSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.99	0.005	0	12	4.36284	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	CuckooSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.99	0.005	0	24	5.20079	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	CuckooSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.99	0.005	0	48	6.07924	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	CuckooSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.5	0.25	0	1	20.2972	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	CuckooSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.5	0.25	0	2	14.3836	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	CuckooSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.5	0.25	0	3	11.4862	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	CuckooSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.5	0.25	0	6	8.22809	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	CuckooSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.5	0.25	0	12	8.03438	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	CuckooSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.5	0.25	0	24	9.92438	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	CuckooSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.5	0.25	0	48	6.44691	
----
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	CuckooSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.99	0.005	0	1	19.8762	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	CuckooSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.99	0.005	0	2	13.2381	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	CuckooSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.99	0.005	0	3	10.0903	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	CuckooSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.99	0.005	0	6	5.66445	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	CuckooSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.99	0.005	0	12	7.17671	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	CuckooSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.99	0.005	0	24	9.2254	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	CuckooSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.99	0.005	0	48	9.2349	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	CuckooSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.5	0.25	0	1	20.3766	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	CuckooSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.5	0.25	0	2	14.8313	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	CuckooSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.5	0.25	0	3	12.6128	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	CuckooSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.5	0.25	0	6	8.73473	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	CuckooSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.5	0.25	0	12	6.64945	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	CuckooSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.5	0.25	0	24	6.34999	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	CuckooSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.5	0.25	0	48	8.4979	
----
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	CuckooSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.99	0.005	0	1	19.8868	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	CuckooSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.99	0.005	0	2	13.3269	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	CuckooSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.99	0.005	0	3	10.3981	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	CuckooSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.99	0.005	0	6	5.60637	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	CuckooSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.99	0.005	0	12	4.10205	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	CuckooSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.99	0.005	0	24	5.68043	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	CuckooSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.99	0.005	0	48	13.7973	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	CuckooSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.5	0.25	0	1	20.4055	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	CuckooSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.5	0.25	0	2	15.6131	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	CuckooSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.5	0.25	0	3	10.6744	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	CuckooSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.5	0.25	0	6	6.44759	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	CuckooSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.5	0.25	0	12	5.98084	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	CuckooSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.5	0.25	0	24	10.0032	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	CuckooSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.5	0.25	0	48	14.7693	
----
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	CuckooSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.99	0.005	0	1	20.0206	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	CuckooSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.99	0.005	0	2	13.3641	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	CuckooSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.99	0.005	0	3	9.8851	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	CuckooSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.99	0.005	0	6	6.47986	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	CuckooSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.99	0.005	0	12	7.66038	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	CuckooSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.99	0.005	0	24	9.11892	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	CuckooSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.99	0.005	0	48	8.80881	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	CuckooSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.5	0.25	0	1	20.3189	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	CuckooSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.5	0.25	0	2	14.9537	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	CuckooSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.5	0.25	0	3	12.6826	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	CuckooSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.5	0.25	0	6	6.15601	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	CuckooSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.5	0.25	0	12	10.3575	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	CuckooSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.5	0.25	0	24	11.3218	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	CuckooSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.5	0.25	0	48	13.6649	
----
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	CuckooSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.99	0.005	0	1	20.1051	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
